Checking account,Housing,Job,Purpose,Risk,Saving accounts,Sex,Credit_Duration_Ratio,Age_Group
little,own,2,radio/TV,good,No savings,male,194.83333333333334,Mature-Seniors
moderate,own,2,radio/TV,bad,little,female,123.97916666666667,Young
No checking,own,1,education,good,little,male,174.66666666666666,Mature-Seniors
little,free,2,furniture/equipment,good,little,male,187.66666666666666,Mature-Seniors
little,free,2,car,bad,little,male,202.91666666666666,Mature-Seniors
No checking,free,1,education,good,No savings,male,251.52777777777777,Adults
No checking,own,2,furniture/equipment,good,quite rich,male,118.125,Mature-Seniors
moderate,rent,3,car,good,little,male,193.0,Adults
No checking,own,1,radio/TV,good,rich,male,254.91666666666666,Mature-Seniors
moderate,own,3,car,bad,little,male,174.46666666666667,Young
moderate,rent,2,car,bad,little,female,107.91666666666667,Young
little,rent,2,business,bad,little,female,89.75,Young
moderate,own,2,radio/TV,good,little,female,130.58333333333334,Young
little,own,1,car,bad,little,male,49.958333333333336,Mature-Seniors
little,rent,2,car,good,little,female,93.53333333333333,Young
little,own,1,radio/TV,bad,moderate,female,53.416666666666664,Adults
No checking,own,2,radio/TV,good,No savings,male,101.0,Mature-Seniors
little,own,2,business,good,No savings,male,269.06666666666666,Young
moderate,free,3,car,bad,little,female,524.125,Mature-Seniors
No checking,own,2,radio/TV,good,quite rich,male,142.91666666666666,Adults
No checking,own,2,car,good,little,male,237.11111111111111,Mature-Seniors
little,rent,2,radio/TV,good,quite rich,male,441.1666666666667,Mature-Seniors
little,rent,1,car,good,little,male,224.1,Mature-Seniors
moderate,own,2,car,good,moderate,male,150.33333333333334,Mature-Seniors
No checking,own,2,furniture/equipment,good,No savings,male,206.9,Young
little,own,1,furniture/equipment,good,little,male,229.0,Adults
No checking,own,1,radio/TV,good,little,male,71.0,Adults
rich,rent,2,radio/TV,good,rich,female,34.083333333333336,Mature-Seniors
moderate,own,2,radio/TV,good,little,male,345.0,Adults
little,own,2,business,bad,little,male,113.93333333333334,Mature-Seniors
